abstract_sku,metric_name,raw_value,store,locale
C2235,pdp_impressions,1196,DE,de_DE
C2235,top_seller,14,DE,de_DE
C2235,random,0,DE,de_DE
M1000785,pdp_impressions,1097,DE,de_DE
M1000785,top_seller,65,DE,de_DE
M1000785,random,0,DE,de_DE
M1000786,pdp_impressions,471,DE,de_DE
M1000786,top_seller,301,DE,de_DE
M1000786,random,0,DE,de_DE
M1000838,pdp_impressions,1362,DE,de_DE
M1000838,top_seller,200,DE,de_DE
M1000838,random,0,DE,de_DE
M1000839,pdp_impressions,1106,DE,de_DE
M1000839,top_seller,757,DE,de_DE
M1000839,random,0,DE,de_DE
