abstract_sku,metric_name,raw_value,store,locale
C2235,top_seller,14,DE,"de_DE,en_US"
C2235,random,0,DE,"de_DE,en_US"
M1000785,top_seller,65,DE,"de_DE,en_US"
M1000785,random,0,DE,"de_DE,en_US"
M1000786,top_seller,301,DE,"de_DE,en_US"
M1000786,random,0,DE,"de_DE,en_US"
M1000838,top_seller,200,DE,"de_DE,en_US"
M1000838,random,0,DE,"de_DE,en_US"
M1000839,top_seller,757,DE,"de_DE,en_US"
M1000839,random,0,DE,"de_DE,en_US"
M1000840,pdp_impressions,287,DE,"de_DE,en_US"
M1000840,top_seller,169,DE,"de_DE,en_US"
M1000840,random,0,DE,"de_DE,en_US"
M1002203,pdp_impressions,1803,DE,"de_DE,en_US"
M1002203,top_seller,35,DE,"de_DE,en_US"
M1002203,random,0,DE,"de_DE,en_US"
M1006484,pdp_impressions,3557,DE,"de_DE,en_US"
M1006484,top_seller,57,DE,"de_DE,en_US"
M1006484,random,0,DE,"de_DE,en_US"
M1006811,pdp_impressions,6485,DE,"de_DE,en_US"
M1006811,top_seller,38,DE,"de_DE,en_US"
M1006811,random,0,DE,"de_DE,en_US"
M1006871,pdp_impressions,2413,DE,"de_DE,en_US"
M1006871,top_seller,31,DE,"de_DE,en_US"
M1006871,random,0,DE,"de_DE,en_US"
M1013168,pdp_impressions,3289,DE,"de_DE,en_US"
M1013168,top_seller,73,DE,"de_DE,en_US"
M1013168,random,0,DE,"de_DE,en_US"
M1013287,pdp_impressions,3632,DE,"de_DE,en_US"
M1013287,top_seller,20,DE,"de_DE,en_US"
M1013287,random,0,DE,"de_DE,en_US"
M1013541,pdp_impressions,784,DE,"de_DE,en_US"
M1013541,top_seller,8,DE,"de_DE,en_US"
M1013541,random,0,DE,"de_DE,en_US"
M1014496,pdp_impressions,2486,DE,"de_DE,en_US"
M1014496,top_seller,250,DE,"de_DE,en_US"
M1014496,random,0,DE,"de_DE,en_US"
M1014502,pdp_impressions,3841,DE,"de_DE,en_US"
M1014502,top_seller,83,DE,"de_DE,en_US"
M1014502,random,0,DE,"de_DE,en_US"
M1014629,pdp_impressions,222,DE,"de_DE,en_US"
M1014629,top_seller,96,DE,"de_DE,en_US"
M1014629,random,0,DE,"de_DE,en_US"
M1014642,pdp_impressions,852,DE,"de_DE,en_US"
M1014642,top_seller,414,DE,"de_DE,en_US"
M1014642,random,0,DE,"de_DE,en_US"
M1014643,pdp_impressions,5768,DE,"de_DE,en_US"
M1014643,top_seller,20,DE,"de_DE,en_US"
M1014643,random,0,DE,"de_DE,en_US"
M1014644,pdp_impressions,9200,DE,"de_DE,en_US"
M1014644,top_seller,158,DE,"de_DE,en_US"
M1014644,random,0,DE,"de_DE,en_US"
M1014645,pdp_impressions,239,DE,"de_DE,en_US"
M1014645,top_seller,97,DE,"de_DE,en_US"
M1014645,random,0,DE,"de_DE,en_US"
M1014646,pdp_impressions,8635,DE,"de_DE,en_US"
M1014646,top_seller,98,DE,"de_DE,en_US"
M1014646,random,0,DE,"de_DE,en_US"
M1014653,pdp_impressions,13439,DE,"de_DE,en_US"
M1014653,top_seller,28,DE,"de_DE,en_US"
M1014653,random,0,DE,"de_DE,en_US"
M1014656,pdp_impressions,3455,DE,"de_DE,en_US"
M1014656,top_seller,274,DE,"de_DE,en_US"
